plot_component,source,material,model,feature_strategy,feature_strategy_short,scenario_group_type,scenario_group,selected_feature,case_name,mae_test_median,mae_test_std
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.014356301,0.001938213
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.010678214,0.002046704
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.016704331,0.002324267
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.01431762,0.002189579
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.015837872,0.002197208
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.016646287,0.002246237
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.015813968,0.002115649
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.015970223,0.002282195
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.015079366,0.002241016
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.015024857,0.002100653
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.010789529,0.001908279
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.01747352,0.002593684
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.013841922,0.002055967
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.016209717,0.002217809
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.013422683,0.001985815
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.014095275,0.002149735
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.015904928,0.00227627
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.017747243,0.002694907
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.016984935,0.002269295
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.01507165,0.002330671
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.015867013,0.002355928
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.014310797,0.002334061
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.003165512,0.001645117
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.01649907,0.002366068
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.014121692,0.00221413
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.016035203,0.002310707
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.016966605,0.002284542
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.014153084,0.00181298
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.014613711,0.002152743
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.003480683,0.001581585
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.014773706,0.0020965
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.014462415,0.00213008
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.014766233,0.002106379
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.015273162,0.002228233
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.013440872,0.002227482
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.016391139,0.002635856
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.015330789,0.002168426
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.013541506,0.001979098
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.014924835,0.002212627
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.016495476,0.002369957
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.014367063,0.002096227
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.014100187,0.001902852
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.016947097,0.002072613
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.017011067,0.002631906
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.013383851,0.002186789
