capacity,soc_%,range,slope,intercept,r2,pearson_r,n
LFP 68Ah,25,0-0.3,-0.0912277149932804,0.05623989112086121,0.7318835208869872,-0.8555019116793293,39
LFP 68Ah,25,0-0.6,-0.059658636942320604,0.053452396435994184,0.7166534918196632,-0.8465538918578448,46
LFP 68Ah,25,0-1.0,-0.03678440972524534,0.05054817117548439,0.6210609335471095,-0.7880741929203807,50
LFP 68Ah,50,0-0.3,-0.09304846772882613,0.056255154107529695,0.6664977494528053,-0.8163931341288982,39
LFP 68Ah,50,0-0.6,-0.06241722375369387,0.05361255214043969,0.6881040174487858,-0.8295203538484066,46
LFP 68Ah,50,0-1.0,-0.04009897367492902,0.050798897517363495,0.63653760947283,-0.797833071182707,50
LFP 68Ah,75,0-0.3,-0.014474450604804918,0.01220596041689306,0.610441173192028,-0.781307348738016,39
LFP 68Ah,75,0-0.6,-0.010975772536845913,0.011929742050933986,0.6826647380834723,-0.8262352801009362,46
LFP 68Ah,75,0-1.0,-0.007413947484413767,0.011474379025939278,0.6615974316765781,-0.8133863975236973,50
