capacity,soc_%,range,N,R2,pearson_r
LFP 68Ah,25,0-0.3,39,0.7318835208869872,-0.8555019116793293
LFP 68Ah,25,0-0.6,46,0.7166534918196632,-0.8465538918578448
LFP 68Ah,25,0-1.0,50,0.6210609335471095,-0.7880741929203807
LFP 68Ah,50,0-0.3,39,0.6664977494528053,-0.8163931341288982
LFP 68Ah,50,0-0.6,46,0.6881040174487858,-0.8295203538484066
LFP 68Ah,50,0-1.0,50,0.63653760947283,-0.797833071182707
LFP 68Ah,75,0-0.3,39,0.610441173192028,-0.781307348738016
LFP 68Ah,75,0-0.6,46,0.6826647380834723,-0.8262352801009362
LFP 68Ah,75,0-1.0,50,0.6615974316765781,-0.8133863975236973
