capacity,width_ms,soc_%,group,mean_crate,d_raw,d_norm,mae
LFP 20Ah,30,5,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.015625073279990163
LFP 20Ah,30,5,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.01551881007857248
LFP 20Ah,30,5,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.01612951698082822
LFP 20Ah,30,5,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.0159030466301305
LFP 20Ah,30,5,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.01627358403239535
LFP 20Ah,30,10,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.01681036814070555
LFP 20Ah,30,10,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.015441498216258377
LFP 20Ah,30,10,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.015202703775297028
LFP 20Ah,30,10,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.015302271233540263
LFP 20Ah,30,10,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.015311579755530002
LFP 20Ah,30,15,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.01611220079549184
LFP 20Ah,30,15,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.01599462732754705
LFP 20Ah,30,15,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.01532250461991529
LFP 20Ah,30,15,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.015155384217678708
LFP 20Ah,30,15,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.015540791347934273
LFP 20Ah,30,20,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.014979583443252745
LFP 20Ah,30,20,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.01497084898862664
LFP 20Ah,30,20,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.014865701692714079
LFP 20Ah,30,20,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.014957510923138993
LFP 20Ah,30,20,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.01471780968364645
LFP 20Ah,30,25,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.0152629140283965
LFP 20Ah,30,25,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.014584309363343428
LFP 20Ah,30,25,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.014469128579862205
LFP 20Ah,30,25,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.014718433644820787
LFP 20Ah,30,25,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.01522425034908207
