capacity,soc_%,range,N,R2
LFP 68Ah,25,0-0.3,38,0.7325053638828486
LFP 68Ah,25,0-0.6,46,0.7412469072654263
LFP 68Ah,25,0-1.0,50,0.6008712541744639
LFP 68Ah,50,0-0.3,38,0.6880283906695055
LFP 68Ah,50,0-0.6,46,0.7218942913911103
LFP 68Ah,50,0-1.0,50,0.6569041044255177
LFP 68Ah,75,0-0.3,38,0.5780724342613103
LFP 68Ah,75,0-0.6,46,0.743463821590423
LFP 68Ah,75,0-1.0,50,0.7060409689269673
