capacity,soc_%,range,slope,intercept,r2,pearson_r,n
LFP 68Ah,25,0-0.3,-0.09198530934043146,0.055776393197240155,0.7325053638828486,-0.8558652720392672,38
LFP 68Ah,25,0-0.6,-0.06228049501019573,0.05280204582946012,0.7412469072654263,-0.8609569717851329,46
LFP 68Ah,25,0-1.0,-0.0382195623236414,0.04950503075290335,0.6008712541744639,-0.7751588573798687,50
LFP 68Ah,50,0-0.3,-0.08602908295069465,0.055306205103847365,0.6880283906695055,-0.8294747679522901,38
LFP 68Ah,50,0-0.6,-0.05852666025761553,0.05257583891276384,0.7218942913911103,-0.8496436261110362,46
LFP 68Ah,50,0-1.0,-0.03923160884300304,0.0499317822422006,0.6569041044255177,-0.8104962087668995,50
LFP 68Ah,75,0-0.3,-0.014073819497059133,0.0124243370993753,0.5780724342613103,-0.7603107484846644,38
LFP 68Ah,75,0-0.6,-0.012156091496394933,0.012214928341346708,0.743463821590423,-0.8622434816166619,46
LFP 68Ah,75,0-1.0,-0.008601331362177805,0.011721928391448741,0.7060409689269673,-0.8402624405071116,50
