capacity,soc_%,range,N,R2,pearson_r
LFP 68Ah,25,0-0.3,38,0.7325053638828486,-0.8558652720392672
LFP 68Ah,25,0-0.6,46,0.7412469072654263,-0.8609569717851329
LFP 68Ah,25,0-1.0,50,0.6008712541744639,-0.7751588573798687
LFP 68Ah,50,0-0.3,38,0.6880283906695055,-0.8294747679522901
LFP 68Ah,50,0-0.6,46,0.7218942913911103,-0.8496436261110362
LFP 68Ah,50,0-1.0,50,0.6569041044255177,-0.8104962087668995
LFP 68Ah,75,0-0.3,38,0.5780724342613103,-0.7603107484846644
LFP 68Ah,75,0-0.6,46,0.743463821590423,-0.8622434816166619
LFP 68Ah,75,0-1.0,50,0.7060409689269673,-0.8402624405071116
