panel_order,group,label,N,mean_soh_percent,std_soh_percent,min_soh_percent,max_soh_percent
1,20Ah LFP,20 Ah,102,76.4577843137255,3.9930752091948083,66.631,82.55250000000001
2,35Ah LFP,35 Ah,56,84.90366836734695,4.900556982853535,74.36399999999999,96.23314285714287
3,68Ah LFP,68 Ah,96,79.3813587622549,6.002144946827933,65.89970588235295,87.28838235294117
