group,label,file_name,file_path,SOC_low,SOC_high,SOC_window,Part,keep_reason,SOH,SOH_percent,Qn_Ah,Q_Ah
35Ah LFP,35 Ah,LFP_C_35_B_33_SOC_5-75_Part_1-1_ID_33号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_33_SOC_5-75_Part_1-1_ID_33号.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.845277142857143,84.5277142857143,35,29.5847
35Ah LFP,35 Ah,LFP_C_35_B_34_SOC_5-75_Part_1-1_ID_34号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_34_SOC_5-75_Part_1-1_ID_34号.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8210257142857144,82.10257142857144,35,28.7359
35Ah LFP,35 Ah,LFP_C_35_B_35_SOC_5-80_Part_1-1_ID_35号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_35_SOC_5-80_Part_1-1_ID_35号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.88986,88.986,35,31.1451
35Ah LFP,35 Ah,LFP_C_35_B_36_SOC_5-80_Part_1-1_ID_36号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_36_SOC_5-80_Part_1-1_ID_36号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.8941942857142857,89.41942857142857,35,31.2968
35Ah LFP,35 Ah,LFP_C_35_B_37_SOC_5-80_Part_1-1_ID_37号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_37_SOC_5-80_Part_1-1_ID_37号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.8878885714285715,88.78885714285715,35,31.0761
35Ah LFP,35 Ah,LFP_C_35_B_38_SOC_5-80_Part_1-1_ID_38号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_38_SOC_5-80_Part_1-1_ID_38号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.8744714285714286,87.44714285714285,35,30.6065
35Ah LFP,35 Ah,LFP_C_35_B_39_SOC_5-80_Part_1-1_ID_39号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_39_SOC_5-80_Part_1-1_ID_39号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.9035257142857143,90.35257142857142,35,31.6234
35Ah LFP,35 Ah,LFP_C_35_B_3_SOC_5-70_Part_1-1_ID_3号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_3_SOC_5-70_Part_1-1_ID_3号.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.7685371428571429,76.85371428571429,35,26.8988
35Ah LFP,35 Ah,LFP_C_35_B_40_SOC_5-80_Part_1-1_ID_40号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_40_SOC_5-80_Part_1-1_ID_40号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.9061085714285714,90.61085714285714,35,31.7138
35Ah LFP,35 Ah,LFP_C_35_B_41_SOC_5-80_Part_1-1_ID_41号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_41_SOC_5-80_Part_1-1_ID_41号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.9109142857142858,91.09142857142858,35,31.882
35Ah LFP,35 Ah,LFP_C_35_B_42_SOC_5-80_Part_1-1_ID_42号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_42_SOC_5-80_Part_1-1_ID_42号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.85786,85.786,35,30.0251
35Ah LFP,35 Ah,LFP_C_35_B_43_SOC_5-80_Part_1-1_ID_43号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_43_SOC_5-80_Part_1-1_ID_43号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.8830285714285714,88.30285714285714,35,30.906
35Ah LFP,35 Ah,LFP_C_35_B_44_SOC_5-80_Part_1-1_ID_44号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_44_SOC_5-80_Part_1-1_ID_44号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.907,90.7,35,31.745
35Ah LFP,35 Ah,LFP_C_35_B_45_SOC_5-80_Part_1-1_ID_45号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_45_SOC_5-80_Part_1-1_ID_45号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.8835542857142856,88.35542857142856,35,30.9244
35Ah LFP,35 Ah,LFP_C_35_B_46_SOC_5-80_Part_1-1_ID_46号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_46_SOC_5-80_Part_1-1_ID_46号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.8943057142857143,89.43057142857143,35,31.3007
35Ah LFP,35 Ah,LFP_C_35_B_47_SOC_5-80_Part_1-1_ID_47号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_47_SOC_5-80_Part_1-1_ID_47号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.8922485714285714,89.22485714285713,35,31.2287
35Ah LFP,35 Ah,LFP_C_35_B_48_SOC_5-80_Part_1-1_ID_48号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_48_SOC_5-80_Part_1-1_ID_48号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.8798314285714286,87.98314285714287,35,30.7941
35Ah LFP,35 Ah,LFP_C_35_B_49_SOC_5-80_Part_1-1_ID_49号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_49_SOC_5-80_Part_1-1_ID_49号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.8873885714285714,88.73885714285714,35,31.0586
35Ah LFP,35 Ah,LFP_C_35_B_4_SOC_5-70_Part_1-1_ID_4号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_4_SOC_5-70_Part_1-1_ID_4号.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.7739171428571429,77.39171428571429,35,27.0871
35Ah LFP,35 Ah,LFP_C_35_B_50_SOC_5-80_Part_1-1_ID_50号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_50_SOC_5-80_Part_1-1_ID_50号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.8691085714285715,86.91085714285714,35,30.4188
35Ah LFP,35 Ah,LFP_C_35_B_51_SOC_5-80_Part_1-1_ID_51号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_51_SOC_5-80_Part_1-1_ID_51号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.8708857142857144,87.08857142857144,35,30.481
35Ah LFP,35 Ah,LFP_C_35_B_52_SOC_5-80_Part_1-1_ID_52号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_52_SOC_5-80_Part_1-1_ID_52号.xlsx,5,80,5-80,1-1,keep_SOC_5-80_Part_1-1,0.9147485714285714,91.47485714285713,35,32.0162
35Ah LFP,35 Ah,LFP_C_35_B_53_SOC_5-85_Part_1-1_ID_53号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_53_SOC_5-85_Part_1-1_ID_53号.xlsx,5,85,5-85,1-1,keep_SOC_5-85_Part_1-1,0.922802857142857,92.2802857142857,35,32.2981
35Ah LFP,35 Ah,LFP_C_35_B_54_SOC_5-85_Part_1-1_ID_54号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_54_SOC_5-85_Part_1-1_ID_54号.xlsx,5,85,5-85,1-1,keep_SOC_5-85_Part_1-1,0.9623314285714286,96.23314285714287,35,33.6816
35Ah LFP,35 Ah,LFP_C_35_B_55_SOC_5-85_Part_1-1_ID_55号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_55_SOC_5-85_Part_1-1_ID_55号.xlsx,5,85,5-85,1-1,keep_SOC_5-85_Part_1-1,0.9208057142857143,92.08057142857143,35,32.2282
35Ah LFP,35 Ah,LFP_C_35_B_56_SOC_5-90_Part_1-2_ID_56号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_56_SOC_5-90_Part_1-2_ID_56号.xlsx,5,90,5-90,1-2,keep_SOC_5-90_Part_1-2,0.9578857142857143,95.78857142857143,35,33.526
35Ah LFP,35 Ah,LFP_C_35_B_5_SOC_5-70_Part_1-1_ID_5号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_5_SOC_5-70_Part_1-1_ID_5号.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.7998028571428571,79.98028571428571,35,27.9931
35Ah LFP,35 Ah,LFP_C_35_B_6_SOC_5-70_Part_1-1_ID_6号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_6_SOC_5-70_Part_1-1_ID_6号.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.8089914285714285,80.89914285714285,35,28.3147
35Ah LFP,35 Ah,LFP_C_35_B_7_SOC_5-70_Part_1-1_ID_7号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_7_SOC_5-70_Part_1-1_ID_7号.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.8004,80.04,35,28.014
35Ah LFP,35 Ah,LFP_C_35_B_8_SOC_5-70_Part_1-1_ID_8号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_8_SOC_5-70_Part_1-1_ID_8号.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.7848257142857143,78.48257142857143,35,27.4689
35Ah LFP,35 Ah,LFP_C_35_B_9_SOC_5-70_Part_1-1_ID_9号.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\35Ah LFP\LFP_C_35_B_9_SOC_5-70_Part_1-1_ID_9号.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.7780628571428571,77.8062857142857,35,27.2322
68Ah LFP,68 Ah,LFP_C_68_B_10_SOC_5-75_Part_1-1_ID_02HCB68111211Y88D0001154.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_10_SOC_5-75_Part_1-1_ID_02HCB68111211Y88D0001154.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8486632352941177,84.86632352941177,68,57.7091
68Ah LFP,68 Ah,LFP_C_68_B_11_SOC_5-65_Part_1-1_ID_02HCB68111211Y86M0006337.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_11_SOC_5-65_Part_1-1_ID_02HCB68111211Y86M0006337.xlsx,5,65,5-65,1-1,keep_SOC_5-65_Part_1-1,0.7336926470588235,73.36926470588236,68,49.8911
68Ah LFP,68 Ah,LFP_C_68_B_12_SOC_5-65_Part_1-1_ID_02HCB68111211Y86T0002171.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_12_SOC_5-65_Part_1-1_ID_02HCB68111211Y86T0002171.xlsx,5,65,5-65,1-1,keep_SOC_5-65_Part_1-1,0.7100794117647059,71.0079411764706,68,48.2854
