width_ms,soc_%,group,mae
3000,55,1.0C|1.5C,0.022360332376360852
3000,55,1.5C|2.0C,0.021164837456772834
3000,55,2.0C|2.5C,0.021209012729811225
3000,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.02177045409856688
3000,65,0.5C|1.0C,0.011510783784096763
3000,65,1.0C|1.5C,0.011123918491651924
3000,65,1.5C|2.0C,0.011078058688866403
3000,65,2.0C|2.5C,0.011314987637839672
3000,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.011851159030077564
3000,75,0.5C|1.0C,0.005610408852988136
3000,75,1.0C|1.5C,0.006118901490493697
3000,75,1.5C|2.0C,0.0061645088889770204
3000,75,2.0C|2.5C,0.00670769399342563
3000,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.005488509292926866
5000,5,0.5C|1.0C,0.04837730792647771
5000,5,1.0C|1.5C,0.05250925472767977
5000,5,1.5C|2.0C,0.04857905670793096
5000,5,2.0C|2.5C,0.050212905128563
5000,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.045222380772334196
5000,15,0.5C|1.0C,0.035671553387860336
5000,15,1.0C|1.5C,0.03718961626048212
5000,15,1.5C|2.0C,0.03600394206193498
5000,15,2.0C|2.5C,0.035961478987430594
5000,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.034806467435592375
5000,25,0.5C|1.0C,0.029026179918269678
5000,25,1.0C|1.5C,0.03025507906086051
5000,25,1.5C|2.0C,0.02983700752812122
5000,25,2.0C|2.5C,0.029127715981447568
5000,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.026978094000309087
5000,35,0.5C|1.0C,0.021067546825730924
5000,35,1.0C|1.5C,0.02326261227962407
5000,35,1.5C|2.0C,0.02349490271498783
5000,35,2.0C|2.5C,0.02460504036361927
5000,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.020139541101821402
5000,45,0.5C|1.0C,0.023172713589348727
5000,45,1.0C|1.5C,0.02519360591275447
5000,45,1.5C|2.0C,0.02520457538921691
5000,45,2.0C|2.5C,0.023957565385443372
5000,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.023826528814483026
5000,55,0.5C|1.0C,0.020844731393163122
5000,55,1.0C|1.5C,0.02216994292935346
5000,55,1.5C|2.0C,0.020288648013047167
5000,55,2.0C|2.5C,0.020520579734507143
5000,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.019526544105383396
5000,65,0.5C|1.0C,0.010768871075371216
5000,65,1.0C|1.5C,0.012382756452416342
5000,65,1.5C|2.0C,0.012657288764782861
5000,65,2.0C|2.5C,0.013887320185621877
5000,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.010768812761581807
5000,75,0.5C|1.0C,0.00614847477573815
5000,75,1.0C|1.5C,0.00625658117005172
5000,75,1.5C|2.0C,0.005967966472542408
5000,75,2.0C|2.5C,0.006061503864603671
5000,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.00560145890639506
