panel_col,crate,scatter_colormap,scatter_annotation,error_mean,error_std,error_unit,n_points
1,0.5C,#3F8585-#6ABBA5-#66A931-#8EBA35-#D8C957,0.5C,0.0007808600485415986,0.01593370682468547,fraction,2100
2,1.0C,#3F8585-#6ABBA5-#66A931-#8EBA35-#D8C957,1.0C,0.0009090243880901059,0.017634802790555064,fraction,2100
3,1.5C,#3F8585-#6ABBA5-#66A931-#8EBA35-#D8C957,1.5C,0.0007875504737624052,0.016348579646794134,fraction,2100
4,2.0C,#3F8585-#6ABBA5-#66A931-#8EBA35-#D8C957,2.0C,0.0009284144239258531,0.023103572330883004,fraction,2100
5,2.5C,#3F8585-#6ABBA5-#66A931-#8EBA35-#D8C957,2.5C,-0.0001601464304198211,0.03929650426690486,fraction,2100
