capacity,soc_%,crate,seed,importance
20Ah,25,2.0,0,0.002598040858825419
20Ah,25,2.0,1,0.004397848967221853
20Ah,25,2.0,2,0.0012378708681779773
20Ah,25,2.0,3,0.007888069374582212
20Ah,25,2.0,4,0.0021638956183134017
20Ah,25,2.0,5,0.005344645274557432
20Ah,25,2.0,6,0.0007271707329075777
20Ah,25,2.0,7,0.0018539040749216906
20Ah,25,2.0,8,0.0011099808416251337
20Ah,25,2.0,9,0.0005127646234378051
20Ah,25,2.0,10,0.006246119842087978
20Ah,25,2.0,11,0.0031376134528148174
20Ah,25,2.0,12,0.0006038685430925642
20Ah,25,2.0,13,0.0013518521716604653
20Ah,25,2.0,14,0.001439391310414779
20Ah,25,2.0,15,0.00018660559495238885
20Ah,25,2.0,16,0.003099386825387556
20Ah,25,2.0,17,0.00582218671587614
20Ah,25,2.0,18,0.000720653600715461
20Ah,25,2.0,19,0.0003128184752742715
20Ah,25,2.0,20,0.0026862423709775557
20Ah,25,2.0,21,0.002368950809177303
20Ah,25,2.0,22,0.0032902912979447534
20Ah,25,2.0,23,0.0012678638228143925
20Ah,25,2.0,24,0.003577648598480632
20Ah,25,2.0,25,0.005914253254078761
20Ah,25,2.0,26,0.008213622054407337
20Ah,25,2.0,27,0.004923262697762376
20Ah,25,2.0,28,0.006232967075317309
20Ah,25,2.0,29,0.023113484477447606
20Ah,25,2.0,30,0.0037812045379128083
20Ah,25,2.0,31,0.0024950133984607565
20Ah,25,2.0,32,0.0031243552181814595
20Ah,25,2.0,33,0.002219301273196881
20Ah,25,2.0,34,0.0035252428855651365
20Ah,25,2.0,35,0.002402693917277235
20Ah,25,2.0,36,0.02665583037034494
20Ah,25,2.0,37,0.0019289514545746751
20Ah,25,2.0,38,0.0025492885557137157
20Ah,25,2.0,39,0.003482151329364958
20Ah,25,2.0,40,0.0004313945855126655
20Ah,25,2.0,41,0.007106345942090658
20Ah,25,2.0,42,0.0005417897073637379
20Ah,25,2.0,43,0.0004416613894545168
20Ah,25,2.0,44,0.00019852051016926045
20Ah,25,2.0,45,0.00243412116857275
20Ah,25,2.0,46,0.010652649839143416
20Ah,25,2.0,47,0.0033517924311275366
20Ah,25,2.0,48,0.001365202417861036
20Ah,25,2.0,49,0.0006027714312815925
20Ah,25,2.0,50,0.006153475805823972
20Ah,25,2.0,51,0.0009855785462420527
20Ah,25,2.0,52,0.003410427188526733
20Ah,25,2.0,53,0.0003063653053332832
20Ah,25,2.0,54,0.009832942399675214
20Ah,25,2.0,55,0.002522860813318807
20Ah,25,2.0,56,0.004352712211406299
20Ah,25,2.0,57,0.0012869949140801285
20Ah,25,2.0,58,0.007238762290044297
20Ah,25,2.0,59,0.0027588638957072556
20Ah,25,2.0,60,0.0010658143718906077
20Ah,25,2.0,61,0.0013095384300478264
20Ah,25,2.0,62,0.001326245174397466
20Ah,25,2.0,63,0.00443138534506195
20Ah,25,2.0,64,0.011619056316920106
20Ah,25,2.0,65,0.012449730629244244
20Ah,25,2.0,66,0.005629621213847929
20Ah,25,2.0,67,0.006244733286513105
20Ah,25,2.0,68,0.0026838664093511303
20Ah,25,2.0,69,0.009117034248624999
20Ah,25,2.0,70,0.005121787406705538
20Ah,25,2.0,71,0.0006796989555934498
20Ah,25,2.0,72,0.0008226299082751286
20Ah,25,2.0,73,0.0030209982125236363
20Ah,25,2.0,74,0.0014103818889709355
20Ah,25,2.0,75,0.00798565740262544
20Ah,25,2.0,76,0.000693036381124332
20Ah,25,2.0,77,0.00013084488597685993
20Ah,25,2.0,78,0.00799594860145983
20Ah,25,2.0,79,3.7394126467334853e-06
20Ah,25,2.0,80,0.004387615155445663
20Ah,25,2.0,81,0.0016469861006594307
20Ah,25,2.0,82,0.024901748662419367
20Ah,25,2.0,83,0.024674483522114873
20Ah,25,2.0,84,0.00500832724761683
20Ah,25,2.0,85,0.00019800463414602895
20Ah,25,2.0,86,0.010878076584138219
20Ah,25,2.0,87,0.0073210079056754635
20Ah,25,2.0,88,0.029262374370430208
20Ah,25,2.0,89,0.008194036341729563
20Ah,25,2.0,90,0.0013406636465858692
20Ah,25,2.0,91,0.007818894845904067
20Ah,25,2.0,92,0.001709514740039397
20Ah,25,2.0,93,0.002008349984114175
20Ah,25,2.0,94,0.0005282499206434176
20Ah,25,2.0,95,0.0019832944046774574
20Ah,25,2.0,96,6.362337283963739e-05
20Ah,25,2.0,97,0.0015604451881366692
20Ah,25,2.0,98,0.0027061690283206753
20Ah,25,2.0,99,0.011188737178964032
68Ah,25,2.0,0,0.03715640226617321
68Ah,25,2.0,1,0.026823773929171943
68Ah,25,2.0,2,0.021482419811779813
68Ah,25,2.0,3,0.017272996426017706
68Ah,25,2.0,4,0.026557564459119786
68Ah,25,2.0,5,0.02722364840080097
68Ah,25,2.0,6,0.031576772066333955
68Ah,25,2.0,7,0.04467578915851006
68Ah,25,2.0,8,0.01083119592766461
68Ah,25,2.0,9,0.03637928994827157
68Ah,25,2.0,10,0.018085283436181442
68Ah,25,2.0,11,0.028254188819003812
68Ah,25,2.0,12,0.013271003538038862
68Ah,25,2.0,13,0.02139285556874072
68Ah,25,2.0,14,0.033420001507940056
68Ah,25,2.0,15,0.0018734601141781354
68Ah,25,2.0,16,0.021367608376924394
68Ah,25,2.0,17,0.022032313234101198
68Ah,25,2.0,18,0.03380969375014917
68Ah,25,2.0,19,0.02013149846453636
68Ah,25,2.0,20,0.022600954613329866
68Ah,25,2.0,21,0.035351528085619206
68Ah,25,2.0,22,0.02950956911509865
68Ah,25,2.0,23,0.033091444082286536
68Ah,25,2.0,24,0.036126170195916636
68Ah,25,2.0,25,0.01385249868269008
68Ah,25,2.0,26,0.023615773992006067
68Ah,25,2.0,27,0.02269889591781766
68Ah,25,2.0,28,0.032716989731454954
68Ah,25,2.0,29,0.018125796803846142
68Ah,25,2.0,30,0.03626275990807252
68Ah,25,2.0,31,0.03142318702720464
