capacity,soc_%,crate,seed,importance
20Ah,25,1.5,0,0.00815034765364954
20Ah,25,1.5,1,0.008642366585189912
20Ah,25,1.5,2,0.007854303860148083
20Ah,25,1.5,3,0.0011438266039962713
20Ah,25,1.5,4,0.0037169667715719985
20Ah,25,1.5,5,0.0038677662434636927
20Ah,25,1.5,6,0.008824844924141581
20Ah,25,1.5,7,0.0037001861177139513
20Ah,25,1.5,8,0.011952238681309757
20Ah,25,1.5,9,0.008407153075378017
20Ah,25,1.5,10,0.012601791569605426
20Ah,25,1.5,11,0.025569084996930336
20Ah,25,1.5,12,0.019738169429363097
20Ah,25,1.5,13,0.012715056539309788
20Ah,25,1.5,14,0.006960158834869153
20Ah,25,1.5,15,0.019513036122429456
20Ah,25,1.5,16,0.00395547954518901
20Ah,25,1.5,17,0.01300430959821274
20Ah,25,1.5,18,0.014115903382325464
20Ah,25,1.5,19,0.012444959264000306
20Ah,25,1.5,20,0.006870541821018215
20Ah,25,1.5,21,0.008510093412971093
20Ah,25,1.5,22,0.01434267555922225
20Ah,25,1.5,23,0.014159954943050997
20Ah,25,1.5,24,0.007344044442122097
20Ah,25,1.5,25,0.013094942591658528
20Ah,25,1.5,26,0.017704205040975533
20Ah,25,1.5,27,0.0028560314323360023
20Ah,25,1.5,28,0.00632317750243066
20Ah,25,1.5,29,0.0230524861073086
20Ah,25,1.5,30,0.004035273338717206
20Ah,25,1.5,31,0.012646384890625086
20Ah,25,1.5,32,0.011130397100890897
20Ah,25,1.5,33,0.013434370784557129
20Ah,25,1.5,34,0.020981399058869653
20Ah,25,1.5,35,0.006572116887588473
20Ah,25,1.5,36,0.033179951990617414
20Ah,25,1.5,37,0.00022418407407666336
20Ah,25,1.5,38,0.0015588620591298614
20Ah,25,1.5,39,0.016106042876646774
20Ah,25,1.5,40,0.022204757417949517
20Ah,25,1.5,41,0.0023857088717343616
20Ah,25,1.5,42,0.0131811927539334
20Ah,25,1.5,43,0.002343430821437791
20Ah,25,1.5,44,0.011660207560264674
20Ah,25,1.5,45,0.012234362799976242
20Ah,25,1.5,46,0.0013640540952135427
20Ah,25,1.5,47,0.016269658327273822
20Ah,25,1.5,48,0.015850480437741597
20Ah,25,1.5,49,0.015214875099973966
20Ah,25,1.5,50,0.013339064080913704
20Ah,25,1.5,51,0.015533307814685506
20Ah,25,1.5,52,0.014732874991032749
20Ah,25,1.5,53,0.0160223521890795
20Ah,25,1.5,54,0.009121596700627068
20Ah,25,1.5,55,0.008857553922412328
20Ah,25,1.5,56,0.018668827774936038
20Ah,25,1.5,57,0.012626782259735783
20Ah,25,1.5,58,0.0042761556783297225
20Ah,25,1.5,59,0.016351355154866194
20Ah,25,1.5,60,0.009813944203245812
20Ah,25,1.5,61,0.01596405678836662
20Ah,25,1.5,62,0.0081542110333038
20Ah,25,1.5,63,0.0066465965720902374
20Ah,25,1.5,64,0.011490566928846023
20Ah,25,1.5,65,0.018498411078865577
20Ah,25,1.5,66,0.024828345417773956
20Ah,25,1.5,67,0.01982921078528324
20Ah,25,1.5,68,0.011704547105507694
20Ah,25,1.5,69,0.019998306010988242
20Ah,25,1.5,70,0.007481956954551706
20Ah,25,1.5,71,0.027540984512228615
20Ah,25,1.5,72,0.013003088568857157
20Ah,25,1.5,73,0.015190074857016685
20Ah,25,1.5,74,0.012703086673189786
20Ah,25,1.5,75,0.006926062552193847
20Ah,25,1.5,76,0.0003917567244613014
20Ah,25,1.5,77,0.020300352982351978
20Ah,25,1.5,78,0.02007037348586494
20Ah,25,1.5,79,0.020678419872031197
20Ah,25,1.5,80,0.0016163120799728085
20Ah,25,1.5,81,0.010035079526873223
20Ah,25,1.5,82,0.016766560245716197
20Ah,25,1.5,83,0.013981016424390452
20Ah,25,1.5,84,0.0014096758304102907
20Ah,25,1.5,85,0.011740404180292135
20Ah,25,1.5,86,0.014760010839378033
20Ah,25,1.5,87,0.008753692717398044
20Ah,25,1.5,88,0.021589559077308095
20Ah,25,1.5,89,0.01125372155377363
20Ah,25,1.5,90,0.007369926481031536
20Ah,25,1.5,91,0.007438033602117933
20Ah,25,1.5,92,0.008781171637252972
20Ah,25,1.5,93,0.00944427613275915
20Ah,25,1.5,94,0.025726424769703004
20Ah,25,1.5,95,0.009321406390816842
20Ah,25,1.5,96,0.016945134158872617
20Ah,25,1.5,97,0.013533189693209536
20Ah,25,1.5,98,0.013928237926528253
20Ah,25,1.5,99,0.008101006138559531
68Ah,25,1.5,0,0.025375256152096976
68Ah,25,1.5,1,0.02349674092538173
68Ah,25,1.5,2,0.02556468384367097
68Ah,25,1.5,3,0.027222309519095673
68Ah,25,1.5,4,0.02386601254404101
68Ah,25,1.5,5,0.0301593432612588
68Ah,25,1.5,6,0.023213275843931097
68Ah,25,1.5,7,0.02020837143838002
68Ah,25,1.5,8,0.02149388620190224
68Ah,25,1.5,9,0.03720978054712621
68Ah,25,1.5,10,0.023569065243501882
68Ah,25,1.5,11,0.02068432997993659
68Ah,25,1.5,12,0.009982358799436828
68Ah,25,1.5,13,0.028142644632950475
68Ah,25,1.5,14,0.028886625665033264
68Ah,25,1.5,15,0.018194461776498146
68Ah,25,1.5,16,0.03710896576371223
68Ah,25,1.5,17,0.014614898910025648
68Ah,25,1.5,18,0.02765507381751332
68Ah,25,1.5,19,0.007018349860575142
68Ah,25,1.5,20,0.028503572116751967
68Ah,25,1.5,21,0.024748152191568985
68Ah,25,1.5,22,0.013338311245113916
68Ah,25,1.5,23,0.039937250986280946
68Ah,25,1.5,24,0.02424622427243196
68Ah,25,1.5,25,0.033410170098729666
68Ah,25,1.5,26,0.02552038617897531
68Ah,25,1.5,27,0.008991596242767791
68Ah,25,1.5,28,0.031105992085258546
68Ah,25,1.5,29,0.025521618641415642
68Ah,25,1.5,30,0.03249373927395602
68Ah,25,1.5,31,0.019832610197986354
68Ah,25,1.5,32,0.028499717296528046
68Ah,25,1.5,33,0.026725037069364684
68Ah,25,1.5,34,0.019524421187942904
68Ah,25,1.5,35,0.03438702297795771
68Ah,25,1.5,36,0.02657758065402917
68Ah,25,1.5,37,0.02143046680200551
68Ah,25,1.5,38,0.01951833245723691
68Ah,25,1.5,39,0.03092656428675455
68Ah,25,1.5,40,0.01633236665558689
68Ah,25,1.5,41,0.034353149211178054
68Ah,25,1.5,42,0.029771157720703344
68Ah,25,1.5,43,0.026609138773487116
68Ah,25,1.5,44,0.02514115298464043
68Ah,25,1.5,45,0.025317580277786748
68Ah,25,1.5,46,0.022834794386338557
68Ah,25,1.5,47,0.013691633082831061
68Ah,25,1.5,48,0.028306167563099952
68Ah,25,1.5,49,0.027002977469574578
68Ah,25,1.5,50,0.030022289481924574
68Ah,25,1.5,51,0.028361187642674857
68Ah,25,1.5,52,0.02022607630897881
68Ah,25,1.5,53,0.03384390051992886
68Ah,25,1.5,54,0.021735754345696457
68Ah,25,1.5,55,0.037207950869506415
68Ah,25,1.5,56,0.02471480731779845
68Ah,25,1.5,57,0.0395694188447926
68Ah,25,1.5,58,0.031298937818699066
68Ah,25,1.5,59,0.017918626471745663
68Ah,25,1.5,60,0.025649988736834085
68Ah,25,1.5,61,0.018842056737788614
68Ah,25,1.5,62,0.024977103843099112
68Ah,25,1.5,63,0.015491484023460391
68Ah,25,1.5,64,0.03452593259001121
68Ah,25,1.5,65,0.02294533430296092
68Ah,25,1.5,66,0.028157952476125
68Ah,25,1.5,67,0.023428750405371325
68Ah,25,1.5,68,0.027946013883924998
68Ah,25,1.5,69,0.024454267284587942
68Ah,25,1.5,70,0.029095250132762145
68Ah,25,1.5,71,0.03597007021894577
68Ah,25,1.5,72,0.01735462898898448
68Ah,25,1.5,73,0.02118686911978169
68Ah,25,1.5,74,0.015331239397960139
68Ah,25,1.5,75,0.02684191006912842
68Ah,25,1.5,76,0.028389644898228882
68Ah,25,1.5,77,0.018960141043148606
68Ah,25,1.5,78,0.030910621144812092
68Ah,25,1.5,79,0.0282841070526514
68Ah,25,1.5,80,0.024556894269787473
68Ah,25,1.5,81,0.03194802616608316
68Ah,25,1.5,82,0.014358596624544246
68Ah,25,1.5,83,0.019064753392258185
68Ah,25,1.5,84,0.034295087268586696
68Ah,25,1.5,85,0.03261139725930246
68Ah,25,1.5,86,0.016415768376764506
68Ah,25,1.5,87,0.023887040658166908
68Ah,25,1.5,88,0.02438310572439224
68Ah,25,1.5,89,0.030001399207248737
68Ah,25,1.5,90,0.03321987657836268
68Ah,25,1.5,91,0.02576946177954245
68Ah,25,1.5,92,0.02483176935569282
68Ah,25,1.5,93,0.01677319449203969
68Ah,25,1.5,94,0.04095868334626513
68Ah,25,1.5,95,0.026491104434443392
68Ah,25,1.5,96,0.02307065207408588
68Ah,25,1.5,97,0.022234048659778145
68Ah,25,1.5,98,0.022422781775186487
68Ah,25,1.5,99,0.017201552261765635
20Ah,50,1.5,0,0.04903910696504753
20Ah,50,1.5,1,0.06058536952816897
20Ah,50,1.5,2,0.05363081659433833
20Ah,50,1.5,3,0.039588830441401913
20Ah,50,1.5,4,0.05876267572215308
20Ah,50,1.5,5,0.043693372068920114
20Ah,50,1.5,6,0.044233658073071315
20Ah,50,1.5,7,0.03774865790588185
20Ah,50,1.5,8,0.04888878145792699
20Ah,50,1.5,9,0.06205465831569846
20Ah,50,1.5,10,0.04392401745290452
20Ah,50,1.5,11,0.048676983966630755
20Ah,50,1.5,12,0.055622095536367586
20Ah,50,1.5,13,0.02113605719735313
20Ah,50,1.5,14,0.06278073758020201
20Ah,50,1.5,15,0.05246128250807492
20Ah,50,1.5,16,0.04816387740222731
20Ah,50,1.5,17,0.04394655666019311
20Ah,50,1.5,18,0.015536572493947616
20Ah,50,1.5,19,0.05342508400887168
20Ah,50,1.5,20,0.06467841446110671
20Ah,50,1.5,21,0.05194954177360684
20Ah,50,1.5,22,0.045924303058620684
20Ah,50,1.5,23,0.03671748469024895
20Ah,50,1.5,24,0.038155739947270555
20Ah,50,1.5,25,0.045638532399681304
20Ah,50,1.5,26,0.05180672185504289
20Ah,50,1.5,27,0.038249714031602086
20Ah,50,1.5,28,0.042050117592436986
20Ah,50,1.5,29,0.06042962416069687
20Ah,50,1.5,30,0.03957420252778826
20Ah,50,1.5,31,0.03493285116940348
20Ah,50,1.5,32,0.04304550068949931
20Ah,50,1.5,33,0.03906045323782922
20Ah,50,1.5,34,0.050694659357541194
20Ah,50,1.5,35,0.0705394624130129
20Ah,50,1.5,36,0.05532584542314864
20Ah,50,1.5,37,0.047563821367556706
20Ah,50,1.5,38,0.051591094999570576
20Ah,50,1.5,39,0.053279520185361154
