capacity,soc_%,crate,seed,importance
20Ah,25,1.0,0,0.015716307061720995
20Ah,25,1.0,1,0.013017103607920284
20Ah,25,1.0,2,0.019050234272283823
20Ah,25,1.0,3,0.019458516155618426
20Ah,25,1.0,4,0.021357423597520367
20Ah,25,1.0,5,0.015776322711328707
20Ah,25,1.0,6,0.01707891022388284
20Ah,25,1.0,7,0.017921810460409512
20Ah,25,1.0,8,0.011897802086033547
20Ah,25,1.0,9,0.015338486466323336
20Ah,25,1.0,10,0.012681655402632355
20Ah,25,1.0,11,0.0004392146657061797
20Ah,25,1.0,12,0.00408455196850495
20Ah,25,1.0,13,0.011991282866400211
20Ah,25,1.0,14,0.014160270595594404
20Ah,25,1.0,15,0.007980086530302136
20Ah,25,1.0,16,0.01867793184221668
20Ah,25,1.0,17,0.01040385700970163
20Ah,25,1.0,18,0.011049882221859162
20Ah,25,1.0,19,0.014978095650434047
20Ah,25,1.0,20,0.017208451931398663
20Ah,25,1.0,21,0.018003306199335656
20Ah,25,1.0,22,0.01257380957381103
20Ah,25,1.0,23,0.010991138359957998
20Ah,25,1.0,24,0.01652752604864821
20Ah,25,1.0,25,0.010844096667764378
20Ah,25,1.0,26,0.01129732123454968
20Ah,25,1.0,27,0.018640261042805736
20Ah,25,1.0,28,0.016445148618574785
20Ah,25,1.0,29,0.014970945076137944
20Ah,25,1.0,30,0.018780437722271077
20Ah,25,1.0,31,0.01352283567630339
20Ah,25,1.0,32,0.010967658029335038
20Ah,25,1.0,33,0.011747620664299033
20Ah,25,1.0,34,0.005921611871129297
20Ah,25,1.0,35,0.01803764863424552
20Ah,25,1.0,36,0.007635485625490946
20Ah,25,1.0,37,0.019710305252851126
20Ah,25,1.0,38,0.0232438475754703
20Ah,25,1.0,39,0.009350800380057723
20Ah,25,1.0,40,0.005222268322745409
20Ah,25,1.0,41,0.016912413092760037
20Ah,25,1.0,42,0.01282859728380165
20Ah,25,1.0,43,0.022899283886939875
20Ah,25,1.0,44,0.013427594774281466
20Ah,25,1.0,45,0.012782880508818576
20Ah,25,1.0,46,0.025804003141753823
20Ah,25,1.0,47,0.012318202203638174
20Ah,25,1.0,48,0.007296901934324756
20Ah,25,1.0,49,0.012431798733896278
20Ah,25,1.0,50,0.01618379747701911
20Ah,25,1.0,51,0.012182699932099243
20Ah,25,1.0,52,0.01319845954343494
20Ah,25,1.0,53,0.011333686566088227
20Ah,25,1.0,54,0.011454067172071602
20Ah,25,1.0,55,0.014861107491195888
20Ah,25,1.0,56,0.006726499928173962
