capacity,soc_%,range,slope,intercept,r2,n
LFP 20Ah,25,0-0.3,0.015769870276746745,0.015687981888872986,0.34368950749167093,39
LFP 20Ah,25,0-0.6,0.013468684404284018,0.01586077048660882,0.4911453843871555,46
LFP 20Ah,25,0-1.0,0.011282622605021336,0.016055154910671172,0.5224858335984746,50
LFP 20Ah,50,0-0.3,0.0037627606408966426,0.014793615519103373,0.07449100666435049,39
LFP 20Ah,50,0-0.6,0.0012593639463836484,0.015056409140201291,0.01911965837836227,46
LFP 20Ah,50,0-1.0,0.010131920281698166,0.013890336860769594,0.40507618188481975,50
LFP 20Ah,75,0-0.3,0.0006875636065624995,0.003229612428057865,0.0922232170573336,39
LFP 20Ah,75,0-0.6,0.00026787606810437463,0.0032692864032954905,0.04323081358808967,46
LFP 20Ah,75,0-1.0,-5.5573434873755114e-05,0.0033105615942227856,0.004859066589962935,50
