capacity,soc_%,range,N,R2
LFP 20Ah,25,0-0.3,38,0.3038600268613789
LFP 20Ah,25,0-0.6,46,0.373006270856307
LFP 20Ah,25,0-1.0,50,0.2538128034460643
LFP 20Ah,50,0-0.3,38,0.26431632234639
LFP 20Ah,50,0-0.6,46,0.022153664355365144
LFP 20Ah,50,0-1.0,50,0.009754532717084374
LFP 20Ah,75,0-0.3,38,0.017511728571737994
LFP 20Ah,75,0-0.6,46,0.008567642563849565
LFP 20Ah,75,0-1.0,50,5.8021514627748516e-05
