soc_sheet,soc_label,crate,capacity,capacity_label,n,slope_soh_pct_per_mv,intercept_soh_pct,r2,x_min_mv,x_max_mv
SOC25,25%,0.5C,20Ah,20 Ah,102,-4.727811827036403,92.27741349576016,0.7551101431817082,2.500000000000169,5.250000000000199
SOC25,25%,0.5C,35Ah,35 Ah,56,-20.23502357459349,132.99798332767494,0.1626917055541539,2.150000000000096,2.550000000000052
SOC25,25%,0.5C,68Ah,68 Ah,96,-24.3404006077797,164.0276373342062,0.6481793585050595,3.049999999999997,4.199999999999759
SOC25,25%,1.0C,20Ah,20 Ah,102,-6.040461876020971,100.3531408526908,0.48138298723960715,3.450000000000175,5.800000000000249
SOC25,25%,1.0C,35Ah,35 Ah,56,-13.536681404780111,132.8259378048054,0.14387678518342506,3.249999999999753,3.849999999999909
SOC25,25%,1.0C,68Ah,68 Ah,96,-19.763799683220054,173.40351829690698,0.5580896020786033,4.200000000000204,5.450000000000177
SOC25,25%,1.5C,20Ah,20 Ah,102,-3.5512882337019045,98.70556060132883,0.5531106711588958,5.549999999999944,9.250000000000203
SOC25,25%,1.5C,35Ah,35 Ah,56,-15.856063722651294,170.22911127486387,0.2784362983144647,4.949999999999788,5.749999999999922
SOC25,25%,1.5C,68Ah,68 Ah,96,-15.688933295732099,194.00045633477407,0.6414804498954843,6.500000000000172,8.300000000000196
SOC25,25%,2.0C,20Ah,20 Ah,102,-3.0636186402875625,102.86948089545965,0.6670480621986177,7.399999999999851,11.90000000000002
SOC25,25%,2.0C,35Ah,35 Ah,56,-9.230273542800571,151.716014449029,0.1564153298087716,6.749999999999812,7.699999999999818
SOC25,25%,2.0C,68Ah,68 Ah,96,-11.316018582548498,192.0111062166835,0.6216222921163914,9.100000000000108,11.49999999999984
SOC25,25%,2.5C,20Ah,20 Ah,102,-0.6344088499820468,82.98659774339374,0.010109804128527689,8.650000000000269,12.00000000000023
SOC25,25%,2.5C,35Ah,35 Ah,56,-9.029954814044288,166.9633827399744,0.222007401020898,8.449999999999847,9.749999999999925
SOC25,25%,2.5C,68Ah,68 Ah,96,-8.924691878375254,192.49253176662143,0.6689761551358782,11.70000000000004,14.64999999999983
SOC50,50%,0.5C,20Ah,20 Ah,102,-3.3158571567331414,92.99480917284453,0.8545065264664407,3.550000000000164,7.000000000000117
SOC50,50%,0.5C,35Ah,35 Ah,56,-17.871458630476713,133.4278698809891,0.5633099839262142,2.299999999999747,3.149999999999986
SOC50,50%,0.5C,68Ah,68 Ah,96,-11.421633955620205,132.8429339493162,0.7626031683669826,3.9999999999997824,6.650000000000045
SOC50,50%,1.0C,20Ah,20 Ah,102,-3.5408595866358565,97.93205627738169,0.8216163972650439,4.699999999999926,8.549999999999836
