capacity,soc_%,range,N,R2,pearson_r
LFP 35Ah,25,0-0.3,39,0.37860709229913025,-0.6153105657301277
LFP 35Ah,25,0-0.6,46,0.5747631786562573,-0.7581313729534332
LFP 35Ah,25,0-1.0,50,0.41772957042237047,-0.6463200216784024
LFP 35Ah,50,0-0.3,39,0.6668509186740792,-0.8166094039833727
LFP 35Ah,50,0-0.6,46,0.7251784238623322,-0.8515740859504428
LFP 35Ah,50,0-1.0,50,0.7241918393132257,-0.8509946176758261
LFP 35Ah,75,0-0.3,39,0.6488075669612781,-0.8054859197784143
LFP 35Ah,75,0-0.6,46,0.7236570074282683,-0.8506803203485246
LFP 35Ah,75,0-1.0,50,0.6554050528186695,-0.8095709066034111
