capacity,soc_%,range,slope,intercept,r2,pearson_r,n
LFP 35Ah,25,0-0.3,-0.014364006591596088,0.04112785167125132,0.37860709229913025,-0.6153105657301277,39
LFP 35Ah,25,0-0.6,-0.013134809570145732,0.040986894972502685,0.5747631786562573,-0.7581313729534332,46
LFP 35Ah,25,0-1.0,-0.007225089441261505,0.04022936802472081,0.41772957042237047,-0.6463200216784024,50
LFP 35Ah,50,0-0.3,-0.03280683090148739,0.0371124930812541,0.6668509186740792,-0.8166094039833727,39
LFP 35Ah,50,0-0.6,-0.023953180229653544,0.03635532258693012,0.7251784238623322,-0.8515740859504428,46
LFP 35Ah,50,0-1.0,-0.017007798973026098,0.03546428511668836,0.7241918393132257,-0.8509946176758261,50
LFP 35Ah,75,0-0.3,-0.04748243177881876,0.029268899573337216,0.6488075669612781,-0.8054859197784143,39
LFP 35Ah,75,0-0.6,-0.034413268719584444,0.028104235638112915,0.7236570074282683,-0.8506803203485246,46
LFP 35Ah,75,0-1.0,-0.021932214804972587,0.026526903923926537,0.6554050528186695,-0.8095709066034111,50
