capacity,soc_%,crate,seed,importance,signed_importance
20Ah,25,1.5,85,0.011740404180292135,0.011740404180292135
20Ah,25,1.0,85,0.010834563147987416,0.010834563147987416
20Ah,25,2.5,85,0.006605942434909634,0.006605942434909634
20Ah,25,2.0,85,0.00019800463414602895,-0.00019800463414602895
20Ah,25,0.5,86,0.053021031821783485,-0.053021031821783485
20Ah,25,1.0,86,0.01565914590163714,0.01565914590163714
20Ah,25,1.5,86,0.014760010839378033,0.014760010839378033
20Ah,25,2.0,86,0.010878076584138219,-0.010878076584138219
20Ah,25,2.5,86,0.005413241599727528,0.005413241599727528
20Ah,25,0.5,87,0.05990275850654177,-0.05990275850654177
20Ah,25,1.0,87,0.01266431336807395,0.01266431336807395
