capacity,soc_%,range,N,R2,pearson_r
LFP 35Ah,25,0-0.3,38,0.387516435177653,-0.6225081808118292
LFP 35Ah,25,0-0.6,46,0.5421100192240043,-0.7362812093378485
LFP 35Ah,25,0-1.0,50,0.41042582763713964,-0.6406448529701456
LFP 35Ah,50,0-0.3,38,0.6721242437027372,-0.8198318386734788
LFP 35Ah,50,0-0.6,46,0.7972300144384613,-0.8928773792847825
LFP 35Ah,50,0-1.0,50,0.7910027878265677,-0.8893833750563183
LFP 35Ah,75,0-0.3,38,0.7552074296198182,-0.8690267139851446
LFP 35Ah,75,0-0.6,46,0.7925533202574975,-0.8902546378747475
LFP 35Ah,75,0-1.0,50,0.7049028835086661,-0.8395849471665544
