rank,model,mae,mae_std,pred_us,fit_s,Accuracy_score,Stability_score,Inference_score,Fit_score,Composite_equal_weight_score
1,linear,0.02578771463024586,0.004428128999999999,10.481096136285679,0.00099067,94.41739283663017,100,100,100,98.60434820915754
2,xgb,0.02884002348997499,0.0056862300000000005,73.66934732999653,0.21639034553663805,70.26824593937464,82.55166737002592,98.63711786700046,74.80627932810403,81.56582762612626
3,gpr,0.037721512784437555,0.0059233805,18.895999528467655,0.027638424187898636,0,79.26267800640196,99.81850231225795,96.88320758204173,68.99109697517541
4,informer,0.028575369866270482,0.006634763,96.75679811100602,0.8559643292774092,72.36212291232891,69.39666686171442,98.13915386939775,0,59.974485910860274
5,transformer,0.02950861048868057,0.007349294500000001,83.50032639052523,0.7144106522900984,64.9785434920381,59.486982912179116,98.42507740918792,16.556495682796417,59.86177487405039
6,rf,0.025082106213615722,0.004939897,4646.8505710696,0.5190850770450197,100,92.90239949465378,0,39.40229603296865,58.0761738819056
7,mlp,0.0364138032483623,0.01163856581754862,22.02601172029972,0.21957653301069513,10.346289034598469,0,99.75099233039057,74.43361434135463,46.13272392658592
